,,"Split: 70%, 15%, 15%",,seq max lenght: 7092(tokenizer(8000)),,,
,,,,,,,
,,,,,,,
,24-Jul-2025,,,,,,
,Test_6,DATA,TRAINING,MODEL,EVALUATION,STATS,
,,Used protein sequences from the biomart library.,Eval_accuracy: ,"model_name=""RaphaelMourad/Mistral-DNA-v1-17M-hg38""","fine‑tuned and evaluated on tasks such as DNA sequence classification,  via dedicated tutorials in galaxy","eval_loss                     0.347573
eval_accuracy                 0.894737
eval_f1                       0.893125
eval_matthews_correlation     0.788516
eval_precision                0.897727
eval_recall                   0.890819
eval_runtime                  1.134200
eval_samples_per_second      50.257000
eval_steps_per_second         3.527000
epoch                        13.000000",
ALL CHROM,,Coding_sequences from the ALL CHROMOSOMES,Accuracy: ,Black Box,"zero‑shot, probing, and fine‑tuning setups in DART‑Eval, including regulatory DNA classification",,
,,Labeled into the ones that had 'nuclear' or 'membrane' in the name ,TrainingArguments:,"16.8 million parameters, pretrained on human DNA sequences using grouped-query attention, sliding-window attention, and BPE tokenization","classification metrics: accuracy, F1-score, every epoch",,
,,membrane(1853),k-fold: Not used,The model was pretrained using 10kb DNA sequences from the hg38 human genome assembly.,,,
,,nuclear(1465),Learning_rate: 10e-5,single representative prediction: seconds,,,
,,"Split : 80%, 10%, 10%",50 epochs,model max length 1000,,,
,,,,,,,
,,,,,,,
,25-Jul-2025,,,,,,
,Test_6,DATA,TRAINING,MODEL,EVALUATION,STATS,
,,Used protein sequences from the biomart library.,Eval_accuracy: ,"model_name=""RaphaelMourad/Mistral-DNA-v1-17M-hg38""","fine‑tuned and evaluated on tasks such as DNA sequence classification,  via dedicated tutorials in galaxy",,
Max_length,,Coding_sequences from the sample(all_chrom),Accuracy: ,Black Box,"zero‑shot, probing, and fine‑tuning setups in DART‑Eval, including regulatory DNA classification",,
,,Labeled into the ones that had 'nuclear' or 'membrane' in the name ,TrainingArguments:,"16.8 million parameters, pretrained on human DNA sequences using grouped-query attention, sliding-window attention, and BPE tokenization","classification metrics: accuracy, F1-score, every epoch",,
,,membrane(152),k-fold: Not used,The model was pretrained using 10kb DNA sequences from the hg38 human genome assembly.,,,
,,nuclear(148),rank0_only=True,single representative prediction: seconds,,,
,,"Split: 80%, 10%, 10%",,seq max lenght: 7092(tokenizer(5000)),,,
